2025-06-09 14:47:16,511 INFO System Monitor: Starting system monitoring...
2025-06-09 14:47:16,515 INFO CPU: Usage: 10.0%
2025-06-09 14:47:16,516 INFO Memory: Usage: 50.2%
2025-06-09 14:47:16,860 INFO Software: PID: 4504, Name: spoolsv.exe, Username: None
2025-06-09 14:47:16,864 INFO Software: PID: 4532, Name: svchost.exe, Username: None
2025-06-09 14:47:16,868 INFO Software: PID: 4580, Name: svchost.exe, Username: None
2025-06-09 14:47:16,868 INFO Software: PID: 4672, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:16,868 INFO Software: PID: 4780, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:16,873 INFO Software: PID: 4904, Name: svchost.exe, Username: None
2025-06-09 14:47:16,876 INFO Software: PID: 4912, Name: DtsApo4Service.exe, Username: None
2025-06-09 14:47:16,880 INFO Software: PID: 4920, Name: OfficeClickToRun.exe, Username: None
2025-06-09 14:47:16,884 INFO Software: PID: 4928, Name: jhi_service.exe, Username: None
2025-06-09 14:47:16,888 INFO Software: PID: 4940, Name: svchost.exe, Username: None
2025-06-09 14:47:16,892 INFO Software: PID: 4948, Name: svchost.exe, Username: None
2025-06-09 14:47:16,896 INFO Software: PID: 4980, Name: svchost.exe, Username: None
2025-06-09 14:47:16,899 INFO Software: PID: 4988, Name: svchost.exe, Username: None
2025-06-09 14:47:16,903 INFO Software: PID: 4996, Name: svchost.exe, Username: None
2025-06-09 14:47:16,907 INFO Software: PID: 5004, Name: sqlwriter.exe, Username: None
2025-06-09 14:47:16,910 INFO Software: PID: 5020, Name: svchost.exe, Username: None
2025-06-09 14:47:16,913 INFO Software: PID: 5028, Name: KillerAnalyticsService.exe, Username: None
2025-06-09 14:47:16,917 INFO Software: PID: 5036, Name: svchost.exe, Username: None
2025-06-09 14:47:16,920 INFO Software: PID: 5044, Name: RtkAudUService64.exe, Username: None
2025-06-09 14:47:16,924 INFO Software: PID: 5052, Name: vmnetdhcp.exe, Username: None
2025-06-09 14:47:16,928 INFO Software: PID: 5060, Name: RstMwService.exe, Username: None
2025-06-09 14:47:16,931 INFO Software: PID: 5068, Name: svchost.exe, Username: None
2025-06-09 14:47:16,935 INFO Software: PID: 5076, Name: svchost.exe, Username: None
2025-06-09 14:47:16,938 INFO Software: PID: 5084, Name: OneApp.IGCC.WinService.exe, Username: None
2025-06-09 14:47:16,942 INFO Software: PID: 5100, Name: servicehost.exe, Username: None
2025-06-09 14:47:16,945 INFO Software: PID: 5108, Name: IntelAudioService.exe, Username: None
2025-06-09 14:47:16,949 INFO Software: PID: 5164, Name: esif_uf.exe, Username: None
2025-06-09 14:47:16,953 INFO Software: PID: 5176, Name: TeamViewer_Service.exe, Username: None
2025-06-09 14:47:16,956 INFO Software: PID: 5192, Name: svchost.exe, Username: None
2025-06-09 14:47:16,957 INFO Software: PID: 5352, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:16,961 INFO Software: PID: 5424, Name: vmware-authd.exe, Username: None
2025-06-09 14:47:16,965 INFO Software: PID: 5444, Name: vmware-usbarbitrator64.exe, Username: None
2025-06-09 14:47:16,965 INFO Software: PID: 5536, Name: msedgewebview2.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:16,970 INFO Software: PID: 5572, Name: KillerNetworkService.exe, Username: None
2025-06-09 14:47:16,977 INFO Software: PID: 5696, Name: svchost.exe, Username: None
2025-06-09 14:47:16,984 INFO Software: PID: 5732, Name: svchost.exe, Username: None
2025-06-09 14:47:16,988 INFO Software: PID: 5780, Name: svchost.exe, Username: None
2025-06-09 14:47:16,989 INFO Software: PID: 5804, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:16,994 INFO Software: PID: 5892, Name: svchost.exe, Username: None
2025-06-09 14:47:16,995 INFO Software: PID: 6052, Name: ShellHost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:16,999 INFO Software: PID: 6452, Name: sqlservr.exe, Username: None
2025-06-09 14:47:17,000 INFO Software: PID: 7200, Name: wpscloudsvr.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,004 INFO Software: PID: 7264, Name: KAPSService.exe, Username: None
2025-06-09 14:47:17,008 INFO Software: PID: 7384, Name: SearchIndexer.exe, Username: None
2025-06-09 14:47:17,012 INFO Software: PID: 7528, Name: KAPS.exe, Username: None
2025-06-09 14:47:17,016 INFO Software: PID: 7548, Name: conhost.exe, Username: None
2025-06-09 14:47:17,016 INFO Software: PID: 7908, Name: ShellExperienceHost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,020 INFO Software: PID: 8292, Name: QHWatchdog.exe, Username: None
2025-06-09 14:47:17,020 INFO Software: PID: 8492, Name: ZaloCap.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,024 INFO Software: PID: 8748, Name: AggregatorHost.exe, Username: None
2025-06-09 14:47:17,025 INFO Software: PID: 8788, Name: WidgetService.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,028 INFO Software: PID: 8800, Name: svchost.exe, Username: None
2025-06-09 14:47:17,032 INFO Software: PID: 8844, Name: svchost.exe, Username: None
2025-06-09 14:47:17,035 INFO Software: PID: 9056, Name: svchost.exe, Username: None
2025-06-09 14:47:17,036 INFO Software: PID: 9080, Name: PhoneExperienceHost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,036 INFO Software: PID: 9136, Name: python.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,040 INFO Software: PID: 9196, Name: svchost.exe, Username: None
2025-06-09 14:47:17,040 INFO Software: PID: 9608, Name: svchost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,044 INFO Software: PID: 10100, Name: WmiPrvSE.exe, Username: None
2025-06-09 14:47:17,047 INFO Software: PID: 10288, Name: svchost.exe, Username: None
2025-06-09 14:47:17,051 INFO Software: PID: 10296, Name: svchost.exe, Username: None
2025-06-09 14:47:17,055 INFO Software: PID: 10328, Name: svchost.exe, Username: None
2025-06-09 14:47:17,055 INFO Software: PID: 10488, Name: uihost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,055 INFO Software: PID: 10596, Name: backgroundTaskHost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,056 INFO Software: PID: 10964, Name: igfxEMN.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,060 INFO Software: PID: 10984, Name: svchost.exe, Username: None
2025-06-09 14:47:17,060 INFO Software: PID: 11140, Name: svchost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,060 INFO Software: PID: 11144, Name: RuntimeBroker.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,061 INFO Software: PID: 11984, Name: svchost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,061 INFO Software: PID: 12024, Name: Zalo.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,064 INFO Software: PID: 12044, Name: svchost.exe, Username: None
2025-06-09 14:47:17,065 INFO Software: PID: 12744, Name: ApplicationFrameHost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,065 INFO Software: PID: 12860, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,069 INFO Software: PID: 12888, Name: winlogon.exe, Username: None
2025-06-09 14:47:17,069 INFO Software: PID: 13008, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,073 INFO Software: PID: 13172, Name: wlanext.exe, Username: None
2025-06-09 14:47:17,073 INFO Software: PID: 13340, Name: RtkAudUService64.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,077 INFO Software: PID: 13448, Name: sqlservr.exe, Username: None
2025-06-09 14:47:17,077 INFO Software: PID: 13464, Name: wpscenter.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,082 INFO Software: PID: 13488, Name: svchost.exe, Username: None
2025-06-09 14:47:17,085 INFO Software: PID: 13516, Name: svchost.exe, Username: None
2025-06-09 14:47:17,085 INFO Software: PID: 13596, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,089 INFO Software: PID: 13952, Name: svchost.exe, Username: None
2025-06-09 14:47:17,089 INFO Software: PID: 14116, Name: QHSafeTray.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,093 INFO Software: PID: 14508, Name: sqlservr.exe, Username: None
2025-06-09 14:47:17,098 INFO Software: PID: 15164, Name: sqlservr.exe, Username: None
2025-06-09 14:47:17,098 INFO Software: PID: 15452, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,102 INFO Software: PID: 15468, Name: svchost.exe, Username: None
2025-06-09 14:47:17,106 INFO Software: PID: 15900, Name: svchost.exe, Username: None
2025-06-09 14:47:17,111 INFO Software: PID: 15988, Name: sqlceip.exe, Username: None
2025-06-09 14:47:17,116 INFO Software: PID: 15996, Name: svchost.exe, Username: None
2025-06-09 14:47:17,120 INFO Software: PID: 16072, Name: sqlceip.exe, Username: None
2025-06-09 14:47:17,124 INFO Software: PID: 16160, Name: sqlceip.exe, Username: None
2025-06-09 14:47:17,129 INFO Software: PID: 16324, Name: sqlceip.exe, Username: None
2025-06-09 14:47:17,132 INFO Software: PID: 16656, Name: WmiPrvSE.exe, Username: None
2025-06-09 14:47:17,133 INFO Software: PID: 17648, Name: RuntimeBroker.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,133 INFO Software: PID: 18200, Name: SearchHost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,134 INFO Software: PID: 18312, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,134 INFO Software: PID: 18404, Name: svchost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,134 INFO Software: PID: 18604, Name: UserOOBEBroker.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,134 INFO Software: PID: 18828, Name: msedgewebview2.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,135 INFO Software: PID: 18844, Name: RuntimeBroker.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,139 INFO Software: PID: 18868, Name: RtkAudUService64.exe, Username: None
2025-06-09 14:47:17,139 INFO Software: PID: 19032, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,139 INFO Software: PID: 19324, Name: Zalo.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,139 INFO Software: PID: 19604, Name: msedgewebview2.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,144 INFO Software: PID: 19608, Name: svchost.exe, Username: None
2025-06-09 14:47:17,148 INFO Software: PID: 19860, Name: svchost.exe, Username: None
2025-06-09 14:47:17,149 INFO Software: PID: 20208, Name: Zalo.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,149 INFO Software: PID: 20624, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,149 INFO Software: PID: 20880, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,150 INFO Software: PID: 20944, Name: svchost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,150 INFO Software: PID: 20984, Name: msedgewebview2.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,154 INFO Software: PID: 21016, Name: SearchProtocolHost.exe, Username: None
2025-06-09 14:47:17,154 INFO Software: PID: 21380, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,155 INFO Software: PID: 21500, Name: ZaloCall.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,155 INFO Software: PID: 21680, Name: taskhostw.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,155 INFO Software: PID: 21752, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,155 INFO Software: PID: 21876, Name: audiodg.exe, Username: None
2025-06-09 14:47:17,155 INFO Software: PID: 21960, Name: svchost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,156 INFO Software: PID: 21968, Name: Zalo.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,156 INFO Software: PID: 21996, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,156 INFO Software: PID: 22092, Name: Zalo.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,156 INFO Software: PID: 22380, Name: powershell.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,160 INFO Software: PID: 22640, Name: WmiPrvSE.exe, Username: None
2025-06-09 14:47:17,161 INFO Software: PID: 22648, Name: dllhost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,161 INFO Software: PID: 22784, Name: msedgewebview2.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,165 INFO Software: PID: 22912, Name: svchost.exe, Username: None
2025-06-09 14:47:17,166 INFO Software: PID: 23672, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,166 INFO Software: PID: 23812, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,171 INFO Software: PID: 23884, Name: SearchFilterHost.exe, Username: None
2025-06-09 14:47:17,171 INFO Software: PID: 24452, Name: SecurityHealthSystray.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,171 INFO Software: PID: 24572, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,172 INFO Software: PID: 24780, Name: explorer.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,176 INFO Software: PID: 24820, Name: svchost.exe, Username: None
2025-06-09 14:47:17,176 INFO Software: PID: 24936, Name: Zalo.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,177 INFO Software: PID: 24972, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,177 INFO Software: PID: 24988, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,177 INFO Software: PID: 25392, Name: conhost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,177 INFO Software: PID: 26324, Name: RuntimeBroker.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,181 INFO Software: PID: 26384, Name: csrss.exe, Username: None
2025-06-09 14:47:17,182 INFO Software: PID: 26484, Name: msedgewebview2.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,186 INFO Software: PID: 26852, Name: TabTip.exe, Username: None
2025-06-09 14:47:17,186 INFO Software: PID: 26916, Name: svchost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,187 INFO Software: PID: 27020, Name: StartMenuExperienceHost.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,187 INFO Software: PID: 27264, Name: RuntimeBroker.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,187 INFO Software: PID: 27600, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,188 INFO Software: PID: 27656, Name: Code.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,192 INFO Software: PID: 27780, Name: fontdrvhost.exe, Username: None
2025-06-09 14:47:17,192 INFO Software: PID: 27828, Name: SystemSettings.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,197 INFO Software: PID: 28016, Name: SearchFilterHost.exe, Username: None
2025-06-09 14:47:17,197 INFO Software: PID: 28040, Name: ctfmon.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,198 INFO Software: PID: 28048, Name: chrome.exe, Username: DESKTOP-LM0QMOD\admin
2025-06-09 14:47:17,201 INFO Software: PID: 28132, Name: svchost.exe, Username: None
2025-06-09 14:47:17,202 INFO Software: PID: 28192, Name: TextInputHost.exe, Username: DESKTOP-LM0QMOD\admin
